date,household_id,daily_consumption_liters,pressure_psi,temperature_celsius,population_density
2024-06-02,HH0419,368.34,54.26,20.06,2646
2024-05-30,HH0093,453.94,55.6,32.62,4086
2024-04-28,HH0337,177.16,46.77,19.59,5632
2024-05-24,HH0407,282.51,39.45,23.51,7371
2024-04-20,HH0040,408.64,60.42,31.95,7891
2024-03-23,HH0153,223.85,44.32,17.92,1876
2024-04-30,HH0064,329.77,46.75,22.56,7986
2024-03-02,HH0072,1006.91,50.73,33.98,6560
2024-03-19,HH0194,296.27,56.21,24.57,7469
2024-06-02,HH0487,261.84,40.98,22.71,7233
2024-05-21,HH0459,284.66,44.3,26.34,7988
2024-01-03,HH0158,292.57,47.96,30.03,9512
2024-03-03,HH0114,271.16,52.65,32.21,4490
2024-04-03,HH0381,272.01,57.53,28.34,4391
2024-05-29,HH0137,290.54,52.9,27.49,7413
2024-02-29,HH0454,284.08,48.4,26.45,5227
2024-03-29,HH0417,403.77,56.01,22.96,7943
2024-06-27,HH0418,335.4,61.04,15.7,5033
2024-02-22,HH0311,349.85,45.58,26.43,6765
2024-03-07,HH0245,226.07,55.72,27.55,9669
2024-06-03,HH0152,362.37,47.7,20.75,1950
2024-02-02,HH0104,303.58,47.61,23.26,7028
2024-06-07,HH0081,341.46,61.29,20.33,4228
2024-05-15,HH0320,278.63,47.24,29.35,7898
2024-06-12,HH0197,367.78,46.13,18.78,7166
2024-02-16,HH0039,340.68,42.49,29.34,4531
2024-04-09,HH0039,253.17,56.02,28.36,7024
2024-02-20,HH0362,309.19,50.5,20.05,4476
2024-03-30,HH0376,293.71,50.28,30.47,6031
2024-05-22,HH0281,270.6,49.33,19.94,1536
2024-03-30,HH0014,217.26,43.55,18.52,9609
2024-03-31,HH0059,224.86,48.7,23.77,2990
2024-06-28,HH0105,286.36,48.85,28.48,5757
2024-06-02,HH0296,286.56,44.47,25.0,2759
2024-05-20,HH0456,307.91,56.75,23.35,3079
2024-06-06,HH0216,428.5,44.46,23.73,7645
2024-04-22,HH0104,375.2,44.11,26.02,7016
2024-01-08,HH0316,229.62,46.11,23.19,8643
2024-02-01,HH0337,296.52,49.55,25.15,6954
2024-03-12,HH0365,304.94,49.35,18.89,8970
2024-04-05,HH0388,335.65,56.25,27.1,5547
2024-06-13,HH0314,286.21,44.71,26.15,3198
2024-03-25,HH0379,264.2,51.63,18.74,5177
2024-01-02,HH0483,311.36,53.74,22.71,5491
2024-01-20,HH0433,354.43,56.23,14.15,8083
2024-04-08,HH0333,348.59,49.85,23.18,3573
2024-01-09,HH0226,297.15,43.26,28.72,6877
2024-01-22,HH0454,235.58,50.5,25.98,8184
2024-06-13,HH0374,251.08,47.65,27.63,9041
2024-03-26,HH0345,312.8,54.91,19.98,3969
2024-05-01,HH0085,325.51,51.86,24.41,3866
2024-02-05,HH0056,288.75,56.04,28.74,2333
2024-04-07,HH0024,375.05,41.23,24.38,9942
2024-05-27,HH0301,314.18,48.6,22.6,3120
2024-02-09,HH0156,414.92,59.88,24.76,7185
2024-01-25,HH0434,335.39,47.19,19.56,8009
2024-01-12,HH0079,346.47,43.4,23.87,2341
2024-03-20,HH0364,319.01,53.05,31.43,9901
2024-01-25,HH0410,353.11,56.77,30.14,9680
2024-04-18,HH0094,284.48,50.58,15.24,5430
2024-04-26,HH0443,286.03,49.04,24.23,2500
2024-03-22,HH0174,367.83,36.44,18.63,3667
2024-02-14,HH0056,370.7,44.79,31.39,5278
2024-04-17,HH0317,366.69,51.59,31.15,9684
2024-06-18,HH0389,341.8,44.53,13.14,1545
2024-06-06,HH0266,332.05,49.14,37.99,2771
2024-04-30,HH0264,267.48,41.59,16.21,4760
2024-01-03,HH0487,206.93,48.5,28.34,9623
2024-03-13,HH0350,380.7,45.23,23.62,2828
2024-03-01,HH0348,328.15,42.34,26.22,2868
2024-06-01,HH0081,346.4,49.25,21.7,6429
2024-04-26,HH0042,293.59,47.49,27.58,1726
2024-06-25,HH0491,359.71,53.16,37.27,8657
2024-06-11,HH0083,339.8,55.24,22.24,8287
2024-05-04,HH0393,331.65,57.74,33.98,2290
2024-04-14,HH0065,225.31,46.42,24.65,1954
2024-05-03,HH0338,290.62,54.42,20.25,9228
2024-02-29,HH0111,302.16,55.15,34.33,7183
2024-03-31,HH0235,341.02,50.79,33.66,3383
2024-06-16,HH0368,268.11,47.63,19.16,5286
2024-06-03,HH0352,262.87,49.16,25.73,7506
2024-06-06,HH0487,378.37,51.72,28.26,8009
2024-03-28,HH0043,205.37,48.05,21.65,6352
2024-03-03,HH0170,240.73,48.01,22.22,2265
2024-03-08,HH0236,324.59,48.19,25.87,9073
2024-04-27,HH0070,359.75,42.38,26.84,6126
2024-01-29,HH0263,273.71,49.34,14.82,4356
2024-01-04,HH0322,227.6,39.01,28.24,8027
2024-02-01,HH0203,349.37,55.61,31.55,6658
2024-03-21,HH0183,321.54,51.22,15.77,1933
2024-01-15,HH0126,271.67,51.77,23.56,1791
2024-01-12,HH0016,241.84,62.82,22.91,4676
2024-02-22,HH0092,275.91,58.13,12.59,7342
2024-05-10,HH0374,267.5,54.69,33.19,2875
2024-01-09,HH0335,375.05,46.3,24.93,6109
2024-04-26,HH0039,227.33,59.83,24.41,2389
2024-04-04,HH0288,241.11,56.08,28.71,3043
2024-04-11,HH0050,312.9,52.35,23.38,3720
2024-06-16,HH0263,601.64,45.62,25.19,2949
2024-06-09,HH0322,276.44,55.38,29.6,1105
2024-04-28,HH0061,327.63,51.05,29.4,4144
2024-04-12,HH0461,223.31,54.31,25.73,9442
2024-05-06,HH0464,326.11,50.57,29.75,1021
2024-06-02,HH0232,271.01,49.88,33.43,8179
2024-03-27,HH0441,276.99,61.84,22.88,4638
2024-04-09,HH0118,328.56,51.88,27.53,9946
2024-02-04,HH0330,200.13,43.28,23.15,8005
2024-06-07,HH0064,356.56,48.63,29.37,1955
2024-05-31,HH0460,338.41,62.97,27.06,6631
2024-03-06,HH0184,365.85,52.2,18.61,1529
2024-02-09,HH0032,222.56,53.75,21.41,7895
2024-03-27,HH0500,230.72,57.22,21.48,5648
2024-03-02,HH0322,292.9,58.05,16.77,3278
2024-03-24,HH0448,242.22,51.6,18.53,6543
2024-06-12,HH0001,358.04,42.22,23.64,1629
2024-01-14,HH0010,270.43,40.24,24.18,6895
2024-06-19,HH0355,242.74,46.29,18.48,4192
2024-04-16,HH0180,342.35,56.11,26.91,3203
2024-04-20,HH0133,321.5,48.7,24.02,4953
2024-03-18,HH0418,302.42,46.56,28.66,7980
2024-06-09,HH0383,295.96,54.58,26.73,6342
2024-06-19,HH0360,404.42,49.3,20.31,5470
2024-01-08,HH0274,332.21,51.38,21.75,8519
2024-04-11,HH0335,290.47,51.09,24.85,8705
2024-05-15,HH0114,400.17,47.99,26.4,5440
2024-02-15,HH0085,309.03,53.76,27.53,9125
2024-03-03,HH0388,349.52,55.03,23.74,4828
2024-03-17,HH0141,269.78,48.37,29.51,2000
2024-01-23,HH0318,293.06,49.25,25.63,1454
2024-03-29,HH0464,355.46,42.69,14.9,6592
2024-06-09,HH0288,353.57,43.53,22.0,8010
2024-04-19,HH0493,363.46,53.49,28.11,2177
2024-06-01,HH0399,302.92,57.23,15.88,9234
2024-06-24,HH0219,381.22,51.63,31.59,5431
2024-02-16,HH0320,304.34,50.65,26.9,5146
2024-01-15,HH0262,295.16,42.95,26.95,9564
2024-02-21,HH0038,244.5,50.29,28.85,8311
2024-04-15,HH0087,375.73,53.87,20.09,4530
2024-01-07,HH0183,288.77,50.53,18.33,4654
2024-02-25,HH0323,271.66,52.64,20.89,6291
2024-04-29,HH0351,292.48,51.24,36.25,4097
2024-01-09,HH0024,247.03,52.39,25.88,2072
2024-06-02,HH0165,313.27,55.35,20.44,4683
2024-02-29,HH0038,351.44,52.85,23.78,1482
2024-04-17,HH0088,243.62,49.07,24.35,3852
2024-05-22,HH0355,264.98,46.79,28.67,9632
2024-06-01,HH0101,232.39,52.07,21.14,7780
2024-06-15,HH0076,352.13,47.4,28.41,7764
2024-02-05,HH0371,286.33,44.5,21.44,3472
2024-01-13,HH0275,262.05,50.17,26.17,8397
2024-02-19,HH0500,222.21,48.77,17.31,9533
2024-03-10,HH0072,292.82,47.36,24.94,5211
2024-01-08,HH0469,305.67,56.56,28.47,1207
2024-04-15,HH0432,294.44,45.48,31.57,8123
2024-01-03,HH0369,239.27,47.33,17.96,7099
2024-04-13,HH0314,262.34,53.95,23.82,5895
2024-06-09,HH0269,280.18,43.81,25.12,4725
2024-02-05,HH0362,246.47,45.55,15.82,6299
2024-05-30,HH0283,325.4,51.83,32.01,6435
2024-04-10,HH0231,301.31,37.66,35.96,8629
2024-05-13,HH0047,334.03,52.89,22.39,8842
2024-03-06,HH0456,278.29,47.28,28.56,9984
2024-02-23,HH0182,306.01,44.88,26.51,5917
2024-05-04,HH0072,314.35,49.42,21.0,3964
2024-01-25,HH0089,317.58,51.21,20.15,9734
2024-03-18,HH0014,281.31,53.16,16.72,7430
2024-01-05,HH0297,362.82,46.56,24.69,4850
2024-06-26,HH0413,307.43,48.31,22.18,6448
2024-06-04,HH0413,279.45,51.51,21.86,7907
2024-04-06,HH0408,308.03,50.02,17.33,1419
2024-05-03,HH0172,345.62,54.39,28.37,8870
2024-03-02,HH0356,236.36,56.73,18.42,7140
2024-03-26,HH0453,296.26,47.16,23.05,7548
2024-03-19,HH0095,387.46,53.97,17.34,9433
2024-03-22,HH0387,351.65,49.39,22.82,5592
2024-05-18,HH0383,359.83,49.21,19.03,5719
2024-03-22,HH0400,298.0,43.14,16.93,4493
2024-02-11,HH0457,314.24,51.04,21.65,7272
2024-05-09,HH0292,352.0,53.39,22.56,4897
2024-01-21,HH0481,299.08,56.56,17.45,9080
2024-03-27,HH0289,286.21,52.3,21.61,7230
2024-04-10,HH0483,339.65,56.14,12.83,1365
2024-05-18,HH0388,309.29,44.62,16.11,9964
2024-04-03,HH0449,260.1,49.28,25.87,9551
2024-06-01,HH0174,312.29,45.69,20.6,9569
2024-04-28,HH0483,267.82,54.64,32.28,4983
2024-02-01,HH0343,389.96,51.15,20.46,6784
2024-02-28,HH0152,191.72,54.87,26.58,1685
2024-04-22,HH0449,291.68,54.3,22.08,1038
2024-01-12,HH0202,291.64,51.41,31.07,8527
2024-05-14,HH0005,293.0,49.27,23.18,9853
2024-03-29,HH0063,295.28,49.57,22.36,5082
2024-05-30,HH0335,329.32,51.54,33.51,2724
2024-04-06,HH0359,205.04,50.39,28.77,8295
2024-04-20,HH0141,319.06,56.63,26.24,6995
2024-01-05,HH0175,282.23,53.05,26.69,3520
2024-01-10,HH0481,340.84,52.17,30.94,3159
2024-01-13,HH0124,381.95,63.13,26.56,2037
2024-04-30,HH0457,315.97,42.75,19.47,2778
2024-03-10,HH0149,259.14,39.53,26.12,2828
2024-02-23,HH0381,346.63,55.83,22.14,3563
2024-01-14,HH0381,273.12,51.52,23.78,1161
2024-06-06,HH0015,305.54,53.89,22.24,4390
2024-04-19,HH0215,322.75,45.91,25.41,6469
2024-04-22,HH0226,365.33,49.59,24.39,3810
2024-02-16,HH0247,248.79,59.27,23.25,2733
2024-02-16,HH0007,313.08,55.99,15.31,4471
2024-03-09,HH0310,275.56,44.4,22.36,4920
2024-04-18,HH0121,338.57,47.08,18.5,8999
2024-06-13,HH0101,164.29,46.0,29.55,8462
2024-06-11,HH0486,371.4,54.5,28.89,1685
2024-02-29,HH0067,286.29,45.0,23.4,2431
2024-04-17,HH0370,299.08,54.43,21.54,1905
2024-03-20,HH0338,246.54,40.32,21.41,6347
2024-04-16,HH0375,275.78,37.88,29.42,1671
2024-05-27,HH0007,357.99,48.12,24.48,7164
2024-03-22,HH0179,417.78,45.81,28.05,2938
2024-04-24,HH0146,304.0,51.74,21.33,1597
2024-02-02,HH0183,259.49,48.52,25.76,5624
2024-04-07,HH0429,295.87,45.85,27.18,1097
2024-05-23,HH0069,345.2,53.1,35.29,9535
2024-06-16,HH0049,284.88,45.93,24.93,3324
2024-01-20,HH0026,372.87,53.98,29.04,6774
2024-04-29,HH0462,317.88,45.81,32.91,5976
2024-03-06,HH0236,318.99,54.42,24.61,8264
2024-02-11,HH0054,251.33,49.97,22.87,7852
2024-02-20,HH0016,357.42,56.35,21.46,9676
2024-03-25,HH0034,352.48,43.1,25.24,7971
2024-01-12,HH0398,347.84,42.17,31.49,1282
2024-04-23,HH0293,301.37,43.58,24.53,1687
2024-04-16,HH0041,283.89,45.7,30.71,6248
2024-03-03,HH0221,247.11,49.79,26.95,7274
2024-04-06,HH0307,261.38,47.49,27.79,7788
2024-01-09,HH0111,308.42,56.59,23.48,3990
2024-04-17,HH0459,202.24,49.54,13.8,1587
2024-01-30,HH0111,327.29,45.8,23.81,2715
2024-02-03,HH0069,281.66,58.08,23.39,8096
2024-01-23,HH0477,224.08,56.22,27.02,9915
2024-05-04,HH0205,298.79,55.97,19.39,1155
2024-02-16,HH0336,314.16,48.71,22.45,7659
2024-06-01,HH0112,338.88,47.03,24.04,1948
2024-02-15,HH0202,317.13,51.1,26.41,5741
2024-05-30,HH0479,337.33,42.2,17.86,1141
2024-04-09,HH0333,252.41,48.48,24.51,9472
2024-06-16,HH0091,370.59,48.89,27.11,2967
2024-03-23,HH0085,342.17,52.48,30.02,2531
2024-01-19,HH0227,402.84,51.7,21.77,3723
2024-06-16,HH0240,214.99,52.64,28.28,9259
2024-01-08,HH0228,376.39,44.01,18.63,4198
2024-01-16,HH0407,336.72,46.75,25.35,2348
2024-02-17,HH0103,358.09,45.36,26.19,3044
2024-05-16,HH0071,348.76,52.51,28.27,2447
2024-03-16,HH0312,434.38,44.4,24.45,7748
2024-05-29,HH0377,380.61,56.57,19.93,2478
2024-04-01,HH0478,339.14,48.72,12.99,1193
2024-06-10,HH0352,317.66,49.9,29.53,7716
2024-01-12,HH0136,289.23,49.02,26.52,8616
2024-04-02,HH0079,414.82,47.47,18.56,6808
2024-05-20,HH0487,168.43,51.49,26.44,5697
2024-02-08,HH0261,315.96,56.7,26.89,2800
2024-03-28,HH0100,290.98,45.57,26.34,3866
2024-02-28,HH0187,353.8,50.11,23.0,9210
2024-03-16,HH0142,267.36,44.09,29.18,7588
2024-06-09,HH0076,275.85,50.73,25.72,7993
2024-05-25,HH0242,269.26,45.84,13.95,1593
2024-05-26,HH0477,356.6,61.0,16.63,6889
2024-01-29,HH0330,255.19,55.88,16.33,5658
2024-04-27,HH0110,322.58,44.63,31.41,7439
2024-01-02,HH0256,652.38,49.36,15.59,8980
2024-04-10,HH0329,307.99,44.86,29.28,2819
2024-01-21,HH0207,364.37,59.2,21.27,9566
2024-03-13,HH0029,350.03,46.65,27.64,4243
2024-03-19,HH0192,324.43,49.61,23.27,4361
2024-06-04,HH0346,244.71,48.93,20.18,4273
2024-05-25,HH0330,278.49,47.19,23.95,2829
2024-03-04,HH0337,218.56,56.36,24.87,6744
2024-04-18,HH0083,314.01,44.43,25.49,8833
2024-06-03,HH0050,211.64,42.75,24.8,5009
2024-05-01,HH0461,241.07,49.53,26.14,7789
2024-01-18,HH0126,223.02,42.57,19.03,3352
2024-05-20,HH0098,307.15,53.19,27.5,1946
2024-05-10,HH0091,246.83,45.63,24.16,9491
2024-05-18,HH0162,276.4,54.81,15.88,7626
2024-05-20,HH0151,289.74,61.67,30.5,7905
2024-01-19,HH0070,397.92,47.67,24.47,9848
2024-04-10,HH0435,223.77,51.2,26.27,2708
2024-02-16,HH0152,323.38,51.54,23.04,1475
2024-01-05,HH0452,266.73,54.37,26.89,6867
2024-02-21,HH0493,298.54,41.13,31.31,8269
2024-03-15,HH0478,331.99,46.37,14.32,4825
2024-06-27,HH0011,456.89,39.0,16.44,6806
2024-01-04,HH0301,294.67,56.95,18.08,8742
2024-02-07,HH0376,348.15,53.61,20.69,2137
2024-01-22,HH0071,356.21,54.74,22.95,2999
2024-06-17,HH0461,262.65,54.77,27.57,9733
2024-05-14,HH0422,293.81,48.22,25.9,4175
2024-01-23,HH0280,307.26,49.18,21.28,9605
2024-04-11,HH0092,323.52,40.72,33.63,3092
2024-03-01,HH0424,333.6,51.95,28.96,6776
2024-04-28,HH0196,276.33,53.14,27.24,3555
2024-02-03,HH0247,262.22,54.15,24.03,3780
2024-02-22,HH0124,308.61,56.01,32.41,1182
2024-01-23,HH0401,276.07,56.5,24.07,2589
2024-02-21,HH0292,321.27,61.09,21.17,7846
2024-01-04,HH0014,248.29,46.31,29.45,7046
2024-02-03,HH0081,316.76,45.26,20.89,6086
2024-04-02,HH0140,356.05,54.78,19.84,7056
2024-05-13,HH0374,341.25,45.66,23.64,5232
2024-06-03,HH0050,261.12,54.29,25.76,3224
2024-04-21,HH0043,309.24,52.3,25.39,8094
2024-05-17,HH0204,272.26,52.75,23.2,4607
2024-04-17,HH0054,319.11,45.98,24.07,6842
2024-05-19,HH0410,212.95,49.98,20.15,3587
2024-02-10,HH0033,250.19,49.69,23.57,9588
2024-04-09,HH0024,316.37,53.11,19.31,4893
2024-04-09,HH0251,348.55,58.01,26.88,8170
2024-01-28,HH0129,254.9,50.69,23.3,2461
2024-03-05,HH0349,283.57,53.02,16.28,3100
2024-03-14,HH0478,632.9,48.86,20.03,9088
2024-05-10,HH0256,338.95,37.95,24.9,9931
2024-05-01,HH0377,286.86,44.1,30.57,4227
2024-01-16,HH0010,306.04,57.74,28.36,5063
2024-06-01,HH0080,329.59,39.19,26.28,4709
2024-01-12,HH0174,308.24,50.25,28.35,9835
2024-04-13,HH0480,333.85,46.28,21.01,4276
2024-03-19,HH0382,308.63,47.79,35.63,7683
2024-01-22,HH0290,321.65,46.69,22.01,1025
2024-01-25,HH0335,319.66,57.06,27.49,6102
2024-04-04,HH0443,357.01,45.95,18.71,7707
2024-04-11,HH0174,286.85,40.82,23.4,8763
2024-02-21,HH0089,307.59,49.5,22.28,2946
2024-01-15,HH0060,322.78,49.26,28.27,7589
2024-03-18,HH0027,309.23,47.18,24.58,6085
2024-01-06,HH0060,228.8,48.67,27.24,3743
2024-03-04,HH0318,318.55,42.45,25.61,9548
2024-03-29,HH0303,258.88,56.58,27.63,1929
2024-01-08,HH0356,293.91,59.02,24.05,7976
2024-06-19,HH0286,252.18,52.36,24.97,3468
2024-03-14,HH0348,378.11,54.47,14.42,4326
2024-06-19,HH0240,303.02,43.38,20.78,5444
2024-04-17,HH0422,259.1,48.21,21.76,8927
2024-06-03,HH0117,299.64,53.08,36.28,3451
2024-04-26,HH0211,284.63,49.58,21.64,4929
2024-01-17,HH0295,265.77,53.95,31.89,3161
2024-01-01,HH0118,237.76,42.37,25.16,5200
2024-05-12,HH0432,279.65,53.43,17.3,1660
2024-04-08,HH0356,399.17,49.09,25.87,8470
2024-03-11,HH0255,284.2,55.52,17.91,7696
2024-04-21,HH0397,310.68,48.17,27.22,5570
2024-03-08,HH0366,333.86,48.17,21.74,4075
2024-03-07,HH0471,360.67,46.98,24.76,7771
2024-01-23,HH0349,291.64,53.33,37.11,9891
2024-02-23,HH0340,342.89,45.67,28.23,4156
2024-03-01,HH0347,349.75,49.19,22.03,5082
2024-06-12,HH0333,251.71,48.74,30.67,9497
2024-01-30,HH0071,359.71,45.09,22.7,4450
2024-02-16,HH0325,243.23,57.3,16.4,9463
2024-02-28,HH0242,374.87,47.48,25.67,4722
2024-01-10,HH0159,212.54,52.38,24.27,1152
2024-05-02,HH0228,280.8,51.25,13.45,8361
2024-04-13,HH0446,307.85,47.91,29.71,4489
2024-06-17,HH0068,272.08,44.5,30.29,1174
2024-04-18,HH0153,346.88,38.04,24.63,4171
2024-02-01,HH0294,908.12,48.9,26.28,2293
2024-06-10,HH0236,283.84,53.87,19.99,4922
2024-05-13,HH0144,325.03,50.25,34.1,1389
2024-01-13,HH0071,302.0,52.1,23.49,8256
2024-05-27,HH0251,352.71,57.47,25.03,4277
2024-04-28,HH0168,367.64,50.35,21.8,4197
2024-02-22,HH0104,248.53,43.24,31.09,7989
2024-03-09,HH0270,256.58,46.48,29.66,4951
2024-01-19,HH0165,274.48,51.06,25.82,4765
2024-05-14,HH0377,297.97,48.2,18.37,6941
2024-05-27,HH0401,251.81,45.21,18.36,1517
2024-02-27,HH0004,303.87,57.57,21.93,4802
2024-06-25,HH0094,225.17,46.75,16.26,6755
2024-01-24,HH0421,293.6,50.44,26.98,2518
2024-01-20,HH0169,272.67,48.64,32.49,3849
2024-05-29,HH0039,362.39,54.06,19.26,8519
2024-02-17,HH0474,338.9,62.62,24.33,5757
2024-06-27,HH0153,249.65,51.95,18.37,9801
2024-06-06,HH0295,609.68,58.48,23.36,2920
2024-05-17,HH0486,218.82,48.07,27.1,8967
2024-01-06,HH0471,298.82,49.13,26.58,4676
2024-05-02,HH0282,309.48,50.08,24.57,5138
2024-04-30,HH0286,360.98,55.18,30.3,2134
2024-06-28,HH0492,609.75,46.51,20.65,6039
2024-02-03,HH0361,296.64,46.42,33.07,2629
2024-02-17,HH0275,349.85,48.65,29.46,6283
2024-03-03,HH0479,229.98,51.03,29.35,1690
2024-03-13,HH0452,344.36,47.02,30.37,5027
2024-01-28,HH0185,349.97,48.81,24.99,6738
2024-02-06,HH0427,363.6,50.01,11.49,8352
2024-01-04,HH0401,216.77,58.13,29.89,9312
2024-05-08,HH0028,249.67,50.21,19.98,3032
2024-04-01,HH0223,339.52,51.7,21.53,1195
2024-05-19,HH0460,316.5,64.75,31.22,9468
2024-03-01,HH0015,352.45,47.67,27.74,7121
2024-06-25,HH0122,287.25,48.85,20.74,3594
2024-02-08,HH0133,318.37,48.43,25.87,7968
2024-05-06,HH0014,308.23,52.37,20.37,3700
2024-06-08,HH0300,248.15,53.72,29.88,5757
2024-02-02,HH0354,345.92,57.86,22.1,9690
2024-05-01,HH0197,261.02,48.56,37.13,3294
2024-02-16,HH0016,321.65,46.32,21.51,5507
2024-05-31,HH0143,351.07,60.44,31.71,7318
2024-06-05,HH0494,183.47,55.08,23.79,5188
2024-06-24,HH0129,306.66,51.51,24.49,5951
2024-01-26,HH0183,336.22,51.46,22.88,6126
2024-02-27,HH0207,445.75,51.3,24.77,8374
2024-01-29,HH0390,261.75,44.52,29.19,4893
2024-06-04,HH0498,352.55,54.1,23.67,7773
2024-06-05,HH0050,316.84,46.0,24.68,5637
2024-02-26,HH0437,286.21,54.7,21.97,7476
2024-02-14,HH0296,310.56,49.66,22.14,1002
2024-03-04,HH0159,377.3,54.06,22.74,7239
2024-03-31,HH0437,293.5,51.58,26.53,1670
2024-05-03,HH0177,305.2,47.1,31.03,3854
